Date,FuturesCode,WeightedAvgPrice,SettlementPrice,FirstDealPrice,MaxPrice,MinPrice,LastDealPrice,Change,VolumeLastDeal,NumOfDeals,TradingVolume RUB,TradingVolume contr,OpenPositionsVolume RUB,OpenPositionsVolume contr,MarginRequirements
09.02.2023,SiH3,73 048,72 890,72 681,73 485,72 535,72 892,"+0,35 %",19,279 908,98 475 201 419,1 348 173,475 812 508 240,6 527 816,11 384
10.02.2023,SiH3,72 725,72 914,72 900,73 044,72 327,72 916,"+0,03 %",25,249 726,89 782 108 396,1 234 539,452 688 756 420,6 208 530,11 420
13.02.2023,SiH3,73 193,73 299,72 949,73 400,72 776,73 294,"+0,52 %",8,214 473,73 202 857 186,1 000 090,441 761 931 552,6 026 848,11 495
14.02.2023,SiH3,72 904,72 837,73 267,73 467,72 077,72 840,"-0,62 %",60,356 402,96 860 755 620,1 328 546,430 755 978 564,5 913 972,11 471
15.02.2023,SiH3,73 321,73 430,72 823,73 716,72 668,73 430,"+0,81 %",1,281 345,92 827 693 832,1 266 061,417 746 647 780,5 689 046,11 579
16.02.2023,SiH3,74 201,74 199,73 435,74 674,73 252,74 200,"+1,05 %",110,286 407,110 250 926 807,1 485 846,407 203 815 204,5 487 996,11 603
17.02.2023,SiH3,73 837,73 349,74 186,74 567,73 158,73 317,"-1,19 %",2,362 941,169 358 000 827,2 293 733,349 895 121 022,4 770 278,11 471
20.02.2023,SiH3,73 378,74 040,73 368,74 328,72 560,74 032,"+0,98 %",10,321 074,93 451 253 157,1 273 562,366 068 419 920,4 944 198,11 519
21.02.2023,SiH3,73 975,74 094,74 049,74 459,73 400,74 070,"+0,05 %",1,376 097,91 736 335 879,1 240 214,366 976 467 900,4 952 850,11 565
22.02.2023,SiH3,74 309,74 569,74 057,74 777,73 686,74 551,"+0,65 %",5,279 429,68 561 558 135,922 655,374 093 583 336,5 016 744,11 532
24.02.2023,SiH3,74 908,75 569,74 549,75 784,73 973,75 566,"+1,36 %",1,315 994,81 087 605 163,1 082 537,379 763 243 496,5 025 384,11 655
27.02.2023,SiH3,74 325,73 764,75 566,75 665,73 511,73 739,"-2,42 %",4,392 755,103 459 216 144,1 391 726,364 975 272 792,4 947 878,11 427
28.02.2023,SiH3,73 954,74 144,73 785,74 364,73 161,74 164,"+0,58 %",2,332 651,101 873 500 929,1 377 539,367 292 026 304,4 953 766,11 462
01.03.2023,SiH3,74 451,74 632,74 198,74 725,74 025,74 631,"+0,63 %",5,267 964,89 669 486 024,1 204 459,347 317 177 360,4 653 730,11 467
02.03.2023,SiH3,75 078,74 974,74 665,75 414,74 575,74 961,"+0,44 %",10,242 840,68 323 338 960,910 112,340 002 441 612,4 534 938,11 489
03.03.2023,SiH3,74 985,75 292,74 951,75 359,74 614,75 344,"+0,51 %",1,235 057,67 929 423 518,905 910,335 025 306 560,4 449 680,11 496
06.03.2023,SiH3,75 108,75 092,75 300,75 635,74 731,75 056,"-0,38 %",1,275 840,79 430 151 297,1 057 543,324 313 336 960,4 318 880,11 440
07.03.2023,SiH3,75 321,75 787,75 055,75 817,74 808,75 781,"+0,97 %",10,194 570,63 191 265 671,838 965,325 605 203 840,4 296 320,11 502
09.03.2023,SiH3,75 692,75 725,75 799,75 990,75 451,75 710,"-0,09 %",1,236 460,63 661 219 678,841 063,313 144 229 450,4 135 282,11 469
10.03.2023,SiH3,75 888,75 896,75 701,76 098,75 626,75 990,"+0,37 %",3,192 415,59 144 682 259,779 370,297 396 199 120,3 918 470,11 440
13.03.2023,SiH3,75 349,74 916,75 997,76 047,74 839,74 901,"-1,43 %",6,335 274,112 756 335 310,1 496 366,232 653 885 480,3 105 530,11 268
14.03.2023,SiH3,75 187,75 300,74 971,75 421,74 772,75 290,"+0,52 %",1,190 187,67 750 740 820,901 090,190 496 650 800,2 529 836,11 313
15.03.2023,SiH3,75 769,76 046,75 274,76 179,75 274,76 036,"+0,99 %",30,211 252,71 443 384 078,942 976,146 302 161 744,1 923 864,11 410
16.03.2023,SiH3,76 356,76 822,76 049,76 823,75 911,76 822,"+1,03 %",1,84 864,29 507 834 596,386 449,-,-,12 003
17.03.2023,SiM3,76 427,76 853,76 400,76 963,75 965,76 795,"+0,52 %",2,267 260,123 704 658 926,1 618 591,277 626 543 908,3 612 436,12 234
20.03.2023,SiM3,77 113,77 247,76 770,77 633,76 520,77 254,"+0,60 %",4,281 253,96 028 180 245,1 245 286,265 852 502 730,3 441 590,12 232
21.03.2023,SiM3,76 903,76 825,77 252,77 438,76 624,76 830,"-0,55 %",17,220 550,62 568 570 855,813 607,255 453 112 250,3 325 130,12 190
22.03.2023,SiM3,77 180,77 175,76 803,77 503,76 600,77 198,"+0,48 %",1,203 811,70 266 872 122,910 269,264 139 000 650,3 422 598,12 214
23.03.2023,SiM3,76 370,75 986,77 172,77 350,75 757,75 985,"-1,57 %",4,286 723,96 979 975 343,1 269 852,253 824 698 204,3 340 414,12 076
24.03.2023,SiM3,76 455,77 053,75 973,77 147,75 900,77 060,"+1,42 %",2,272 759,98 185 861 457,1 284 224,249 026 666 064,3 231 888,12 241
27.03.2023,SiM3,76 698,76 845,77 078,77 098,76 457,76 835,"-0,29 %",1,170 844,60 565 055 968,789 660,253 230 709 680,3 295 344,12 191
28.03.2023,SiM3,76 882,77 125,76 846,77 286,76 370,77 103,"+0,35 %",15,186 796,57 459 692 159,747 376,267 855 587 750,3 473 006,12 227
29.03.2023,SiM3,77 200,77 378,77 100,77 417,76 963,77 350,"+0,32 %",1,159 719,42 949 236 988,556 336,270 554 343 584,3 496 528,12 260
30.03.2023,SiM3,77 230,77 445,77 344,77 567,76 853,77 431,"+0,10 %",10,206 583,83 386 238 783,1 079 713,273 567 492 450,3 532 410,12 264
31.03.2023,SiM3,77 742,77 787,77 405,78 235,77 293,77 800,"+0,48 %",1,201 112,69 019 994 116,887 813,284 618 588 076,3 658 948,12 310
03.04.2023,SiM3,78 219,78 953,77 843,78 972,77 448,78 940,"+1,46 %",1,203 860,63 953 418 528,817 621,293 187 702 038,3 713 446,12 518
04.04.2023,SiM3,79 398,79 582,78 926,79 777,78 816,79 566,"+0,79 %",5,236 583,78 002 567 388,982 425,293 565 264 880,3 688 840,12 624
05.04.2023,SiM3,79 798,80 025,79 590,80 171,79 407,80 054,"+0,61 %",3,192 673,60 538 131 664,758 644,309 494 446 800,3 867 472,12 675
06.04.2023,SiM3,80 745,81 323,80 066,81 388,79 978,81 388,"+1,67 %",1,254 528,86 943 270 003,1 076 765,310 070 774 090,3 812 830,12 922
07.04.2023,SiM3,81 717,80 993,81 352,83 172,80 520,80 991,"-0,49 %",1,608 159,202 105 702 498,2 473 249,304 238 055 550,3 756 350,12 877
10.04.2023,SiM3,81 198,81 233,81 048,81 745,80 613,81 207,"+0,27 %",20,368 841,139 360 364 019,1 716 295,302 504 056 098,3 723 906,12 942
11.04.2023,SiM3,81 885,81 953,81 241,82 450,81 159,81 934,"+0,90 %",3,257 692,77 629 268 529,948 025,308 633 195 034,3 765 978,13 016
12.04.2023,SiM3,81 904,81 724,81 905,82 337,81 507,81 728,"-0,25 %",6,198 483,56 326 887 013,687 717,308 261 130 072,3 771 978,13 007
13.04.2023,SiM3,81 244,81 025,81 740,81 825,80 831,81 018,"-0,87 %",16,239 221,76 004 831 862,935 506,307 219 251 500,3 791 660,12 930
14.04.2023,SiM3,81 149,81 412,81 000,81 470,80 831,81 416,"+0,49 %",2,203 884,68 125 451 263,839 515,297 478 308 232,3 653 986,12 971
17.04.2023,SiM3,80 881,80 414,81 420,81 847,80 272,80 425,"-1,22 %",1,286 058,101 791 047 081,1 258 521,294 062 900 868,3 656 862,12 893
18.04.2023,SiM3,80 640,80 612,80 430,80 899,80 180,80 620,"+0,24 %",28,178 137,55 509 425 429,688 368,291 211 172 448,3 612 504,12 907
19.04.2023,SiM3,80 795,81 115,80 576,81 370,80 300,81 124,"+0,62 %",1,239 162,86 327 400 850,1 068 478,289 058 980 550,3 563 570,12 937
20.04.2023,SiM3,80 837,80 664,81 170,81 345,80 460,80 641,"-0,60 %",1,205 652,69 233 431 082,856 461,294 366 812 544,3 649 296,12 903
21.04.2023,SiM3,80 654,80 694,80 621,80 990,80 339,80 663,"+0,03 %",24,151 929,49 194 198 751,609 940,291 489 967 872,3 612 288,12 893
24.04.2023,SiM3,80 303,80 339,80 709,80 747,79 937,80 320,"-0,42 %",1,175 944,65 501 292 454,815 677,298 791 345 748,3 719 132,12 843
25.04.2023,SiM3,80 570,80 414,80 369,80 970,80 111,80 422,"+0,13 %",29,186 775,81 685 796 312,1 013 853,318 458 739 360,3 960 240,12 880
26.04.2023,SiM3,80 604,80 734,80 398,80 870,80 243,80 739,"+0,39 %",1,172 507,53 463 131 204,663 281,319 420 518 704,3 956 456,12 881
27.04.2023,SiM3,80 554,80 370,80 704,81 175,80 065,80 341,"-0,49 %",3,192 273,67 058 572 742,832 472,319 088 510 280,3 970 244,12 826
28.04.2023,SiM3,79 299,79 372,80 339,80 676,78 250,79 380,"-1,20 %",2,366 794,141 069 059 405,1 778 940,326 012 076 568,4 107 394,12 639
02.05.2023,SiM3,78 690,78 720,79 360,79 630,78 206,78 705,"-0,85 %",1,240 532,91 610 724 531,1 164 188,332 778 408 960,4 227 368,12 532
03.05.2023,SiM3,78 201,78 056,78 695,78 851,77 641,78 025,"-0,86 %",1,230 579,72 568 795 258,927 980,328 174 743 600,4 204 350,12 425
04.05.2023,SiM3,77 247,76 799,78 011,78 368,76 406,76 773,"-1,60 %",4,280 941,110 826 974 773,1 434 699,348 191 152 602,4 533 798,12 250
05.05.2023,SiM3,76 068,76 445,76 773,77 235,75 424,76 450,"-0,42 %",1,330 447,124 111 039 110,1 631 583,357 777 124 550,4 680 190,12 116
08.05.2023,SiM3,76 665,77 217,76 467,77 610,75 566,77 205,"+0,99 %",2,224 996,59 846 568 428,780 627,363 390 614 832,4 706 096,12 221
10.05.2023,SiM3,75 920,75 727,77 247,77 346,75 205,75 698,"-1,95 %",4,314 086,99 669 424 948,1 312 817,347 527 105 670,4 589 210,11 922
11.05.2023,SiM3,76 099,76 988,75 660,77 395,74 736,76 962,"+1,67 %",1,419 264,183 832 915 514,2 417 397,307 866 851 272,3 998 894,12 007
12.05.2023,SiM3,77 335,77 867,76 971,78 129,76 530,77 889,"+1,20 %",1,319 813,114 341 278 858,1 478 487,305 918 730 378,3 928 734,12 124
15.05.2023,SiM3,78 908,79 224,77 902,79 477,77 640,79 205,"+1,69 %",1,278 192,96 340 560 068,1 220 921,306 837 245 616,3 873 034,12 352
16.05.2023,SiM3,79 683,80 120,79 197,80 227,79 037,80 110,"+1,14 %",3,269 489,101 914 766 790,1 279 009,326 976 770 560,4 081 088,12 508
17.05.2023,SiM3,80 063,79 136,80 125,80 682,79 077,79 134,"-1,22 %",12,336 515,114 194 965 324,1 426 307,329 764 776 704,4 167 064,12 392
18.05.2023,SiM3,79 519,79 940,79 126,80 200,78 827,79 893,"+0,96 %",4,369 258,113 942 993 977,1 432 912,335 571 652 360,4 197 794,12 451
19.05.2023,SiM3,79 596,79 466,79 894,80 111,79 220,79 457,"-0,55 %",1,229 751,68 174 624 396,856 511,329 874 173 376,4 151 136,12 341
22.05.2023,SiM3,79 646,79 911,79 459,79 995,79 275,79 905,"+0,56 %",8,213 262,68 142 449 685,855 568,334 262 438 874,4 182 934,12 365
23.05.2023,SiM3,79 957,79 964,79 890,80 293,79 441,79 989,"+0,10 %",1,245 943,81 158 362 702,1 015 022,325 456 198 776,4 070 034,12 358
24.05.2023,SiM3,79 841,79 975,79 958,80 145,79 582,79 961,"-0,04 %",4,161 599,53 585 440 335,671 152,323 227 759 750,4 041 610,12 333
25.05.2023,SiM3,79 906,80 120,80 027,80 250,79 512,80 101,"+0,18 %",4,223 027,69 621 158 492,871 289,321 324 785 280,4 010 544,12 339
26.05.2023,SiM3,79 889,79 974,80 100,80 170,79 581,79 956,"-0,18 %",2,179 239,54 125 574 474,677 495,319 219 260 012,3 991 538,12 261
29.05.2023,SiM3,80 255,80 800,79 933,80 932,79 731,80 815,"+1,07 %",10,249 892,86 552 115 292,1 078 487,317 317 598 400,3 927 198,12 377
30.05.2023,SiM3,80 730,81 072,80 800,81 323,80 088,81 050,"+0,29 %",4,248 338,85 953 509 197,1 064 698,313 666 757 280,3 868 990,12 402
31.05.2023,SiM3,80 945,81 019,81 062,81 183,80 610,81 039,"-0,01 %",1,231 856,79 725 726 278,984 898,301 662 093 650,3 723 350,12 380
01.06.2023,SiM3,80 686,80 494,80 986,81 038,80 180,80 477,"-0,69 %",1,230 048,88 756 739 846,1 099 955,297 995 066 532,3 702 078,12 308
02.06.2023,SiM3,80 932,81 365,80 460,81 445,80 346,81 370,"+1,11 %",1,235 238,81 971 558 826,1 012 853,296 882 171 050,3 648 770,12 376
05.06.2023,SiM3,81 106,80 753,81 375,81 734,80 480,80 735,"-0,78 %",3,229 527,75 078 063 963,925 638,287 612 468 896,3 561 632,12 287
06.06.2023,SiM3,81 191,81 267,80 790,81 573,80 635,81 272,"+0,66 %",1,186 422,63 962 692 954,787 819,285 815 713 932,3 516 996,12 326
