BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2021-02-19,Роснефть,ROSN,10,13225.4,508.6,505.35,515.3,,510.1,513.95,26,,,,0.0,0.0,0.0,0,3,SUR,1.34
TQBR,2021-02-19,Роснефть,ROSN,26614,3805802323.5,506.0,504.0,515.15,514.1,510.1,512.75,7460830,510.0,510.0,514.1,3584432768.0,3584432768.0,3584432768.0,0,3,SUR,1.16
SMAL,2021-02-20,Роснефть,ROSN,12,24420.45,504.0,504.0,520.0,,512.15,511.85,48,,,,0.0,0.0,0.0,0,3,SUR,-0.41
TQBR,2021-02-20,Роснефть,ROSN,4994,465864311.0,512.55,509.05,514.0,513.25,512.15,513.15,909650,512.1,512.1,513.25,444996538.0,444996538.0,444996538.0,0,3,SUR,0.08
SMAL,2021-02-22,Роснефть,ROSN,1,519.05,519.05,519.05,519.05,,511.1,519.05,1,,,,0.0,0.0,0.0,0,3,SUR,1.41
TQBR,2021-02-22,Роснефть,ROSN,18525,2327976051.0,514.0,509.1,518.9,511.35,511.1,516.0,4533130,513.3,513.3,511.35,2080377192.5,2080377192.5,2080377192.5,0,3,SUR,0.56
SMAL,2021-02-24,Роснефть,ROSN,6,8700.85,515.0,508.8,515.0,,513.2,511.65,17,,,,0.0,0.0,0.0,0,3,SUR,-1.43
TQBR,2021-02-24,Роснефть,ROSN,25531,3481680115.5,511.7,511.15,518.7,516.8,513.2,518.25,6758820,515.0,515.0,516.8,3227870954.5,3227870954.5,3227870954.5,0,3,SUR,0.44
SMAL,2021-02-25,Роснефть,ROSN,28,44142.8,505.35,505.35,535.0,,528.2,535.0,84,,,,0.0,0.0,0.0,0,3,SUR,4.56
TQBR,2021-02-25,Роснефть,ROSN,47149,7069456803.0,519.45,517.95,536.35,534.8,528.2,529.35,13384710,528.0,528.0,534.8,6478454729.5,6478454729.5,6478454729.5,0,3,SUR,2.14
SMAL,2021-02-26,Роснефть,ROSN,10,17849.75,516.9,516.9,551.35,,526.2,522.45,34,,,,0.0,0.0,0.0,0,3,SUR,-2.35
TQBR,2021-02-26,Роснефть,ROSN,30895,5308920157.0,525.65,520.45,533.2,525.9,526.2,523.35,10091350,526.3,526.3,525.9,4947524102.0,4947524102.0,4947524102.0,0,3,SUR,-1.13
SMAL,2021-03-01,Роснефть,ROSN,17,18909.35,527.3,515.55,535.35,,525.35,527.7,36,,,,0.0,0.0,0.0,0,3,SUR,1.0
TQBR,2021-03-01,Роснефть,ROSN,20078,2561836671.5,527.55,521.45,530.0,524.05,525.35,524.1,4875450,525.65,525.65,524.05,2261439956.5,2261439956.5,2261439956.5,0,3,SUR,0.14
SMAL,2021-03-02,Роснефть,ROSN,7,13523.95,518.7,518.7,527.75,,525.8,522.8,26,,,,0.0,0.0,0.0,0,3,SUR,-0.93
TQBR,2021-03-02,Роснефть,ROSN,19775,2526862200.0,519.5,518.85,529.85,528.85,525.8,526.0,4806100,525.6,525.6,528.85,2335728122.5,2335728122.5,2335728122.5,0,3,SUR,0.36
SMAL,2021-03-03,Роснефть,ROSN,23,45419.45,523.0,523.0,536.0,,533.1,529.2,86,,,,0.0,0.0,0.0,0,3,SUR,1.22
TQBR,2021-03-03,Роснефть,ROSN,21637,3178084220.5,528.85,527.6,536.45,535.15,533.1,533.8,5961110,533.0,533.0,535.15,2890538942.5,2890538942.5,2890538942.5,0,3,SUR,1.48
SMAL,2021-03-04,Роснефть,ROSN,14,23048.5,540.5,530.25,543.55,,539.55,541.0,43,,,,0.0,0.0,0.0,0,3,SUR,2.23
TQBR,2021-03-04,Роснефть,ROSN,42904,6729134336.0,535.1,533.2,549.7,539.7,539.55,540.1,12458160,538.75,538.75,539.7,5223622807.5,5223622807.5,5223622807.5,0,3,SUR,1.18
SMAL,2021-03-05,Роснефть,ROSN,19,30749.7,539.05,539.05,565.85,,549.4,557.0,56,,,,0.0,0.0,0.0,0,3,SUR,2.96
TQBR,2021-03-05,Роснефть,ROSN,47816,7534079770.5,543.0,541.55,561.95,556.5,549.4,561.0,13678500,550.2,550.2,556.5,6939597102.5,6939597102.5,6939597102.5,0,3,SUR,3.87
SMAL,2021-03-09,Роснефть,ROSN,17,28940.0,560.0,550.9,584.3,,572.25,570.0,51,,,,0.0,0.0,0.0,0,3,SUR,2.33
TQBR,2021-03-09,Роснефть,ROSN,49805,8214838175.0,559.0,556.0,581.45,572.0,572.25,570.6,14355410,572.35,572.35,572.0,7951604773.5,7951604773.5,7951604773.5,0,3,SUR,1.71
SMAL,2021-03-10,Роснефть,ROSN,15,18602.0,566.1,555.25,570.0,,564.75,564.95,33,,,,0.0,0.0,0.0,0,3,SUR,-0.89
TQBR,2021-03-10,Роснефть,ROSN,32260,5410692993.5,568.75,557.0,573.5,560.5,564.75,561.15,9582210,565.25,565.25,560.5,4947583761.5,4947583761.5,4947583761.5,0,3,SUR,-1.66
SMAL,2021-03-11,Роснефть,ROSN,7,14622.75,594.95,554.95,594.95,,567.05,563.9,26,,,,0.0,0.0,0.0,0,3,SUR,-0.19
TQBR,2021-03-11,Роснефть,ROSN,26026,5428081522.0,563.05,563.05,572.0,568.0,567.05,572.0,9572920,566.9,566.9,568.0,5113923890.0,5113923890.0,5113923890.0,0,3,SUR,1.93
SMAL,2021-03-12,Роснефть,ROSN,9,15326.1,563.9,563.9,572.0,,570.7,572.0,27,,,,0.0,0.0,0.0,0,3,SUR,1.44
TQBR,2021-03-12,Роснефть,ROSN,19892,3403696454.5,572.75,566.4,574.7,568.6,570.7,572.25,5964020,570.65,570.65,568.6,3183442197.5,3183442197.5,3183442197.5,0,3,SUR,0.04
SMAL,2021-03-15,Роснефть,ROSN,9,25664.35,570.9,567.9,573.0,,576.35,573.0,45,,,,0.0,0.0,0.0,0,3,SUR,0.17
TQBR,2021-03-15,Роснефть,ROSN,30460,5726500126.5,573.15,572.0,580.75,577.25,576.35,576.4,9937060,576.4,576.4,577.25,5397496542.0,5397496542.0,5397496542.0,0,3,SUR,0.73
SMAL,2021-03-16,Роснефть,ROSN,19,35198.6,575.0,563.95,582.2,,568.65,570.0,62,,,,0.0,0.0,0.0,0,3,SUR,-0.52
TQBR,2021-03-16,Роснефть,ROSN,50593,10066329397.5,574.65,559.3,577.95,572.0,568.65,571.2,17701530,568.6,568.6,572.0,9785767385.0,9785767385.0,9785767385.0,0,3,SUR,-0.9
SMAL,2021-03-17,Роснефть,ROSN,14,24613.45,565.9,550.65,567.1,,560.05,557.55,44,,,,0.0,0.0,0.0,0,3,SUR,-2.18
TQBR,2021-03-17,Роснефть,ROSN,42899,8547272975.0,570.0,551.25,574.1,554.0,560.05,555.85,15266980,560.2,560.2,554.0,7968969668.0,7968969668.0,7968969668.0,0,3,SUR,-2.69
SMAL,2021-03-18,Роснефть,ROSN,14,21503.75,555.0,545.05,555.0,,553.1,545.05,39,,,,0.0,0.0,0.0,0,3,SUR,-2.24
TQBR,2021-03-18,Роснефть,ROSN,39386,6847528876.0,556.0,541.0,559.5,559.45,553.1,544.05,12381510,554.45,554.45,559.45,5411682276.5,5411682276.5,5411682276.5,0,3,SUR,-2.12
SMAL,2021-03-19,Роснефть,ROSN,16,22044.65,542.3,540.9,561.2,,552.05,559.0,40,,,,0.0,0.0,0.0,0,3,SUR,2.56
SPEQ,2021-03-19,Роснефть,ROSN,63,393076280.0,556.45,556.45,556.45,,,556.45,706400,,,,0.0,0.0,0.0,0,3,SUR,25.89
TQBR,2021-03-19,Роснефть,ROSN,28369,5152311122.5,543.0,541.6,560.95,556.35,552.05,560.3,9333040,551.5,551.5,556.35,4690098760.5,4690098760.5,4690098760.5,0,3,SUR,2.99
SMAL,2021-03-22,Роснефть,ROSN,12,20235.7,579.3,554.8,579.3,,561.65,556.9,36,,,,0.0,0.0,0.0,0,3,SUR,-0.38
